removed_index,removed_id,kept_index,kept_id,question,same_options,same_answer,removed_section,kept_section
17,exam1-17,8,exam1-8,Quel type de peinture convient pour les manchons à poils synthétiques?,True,True,examen-1,examen-1
241,exam5-1,1,exam1-1,Quel lustre de peinture pour plafond est le plus adapté pour la diffusion de la lumière?,True,True,examen-5,examen-1
242,exam5-2,2,exam1-2,Quel solvant permet de laver une pompe à peinture qui a servi à pulvériser un imperméabilisant pour béton au silicone?,True,True,examen-5,examen-1
243,exam5-3,3,exam1-3,Laquelle des propriétés suivantes s'applique aux revêtements à base d'eau?,True,True,examen-5,examen-1
244,exam5-4,4,exam1-4,Lequel des produits suivants protège du feu en gonflant sur la surface?,True,True,examen-5,examen-1
245,exam5-5,5,exam1-5,Quel est le meilleur liant utilisé dans les revêtements en déclin de vinyle extérieur?,True,True,examen-5,examen-1
246,exam5-6,6,exam1-6,Quel est le solvant qui permet de réduire la gomme laque?,True,True,examen-5,examen-1
247,exam5-7,7,exam1-7,Les principaux facteurs de détérioration des surfaces métalliques proviennent le plus souvent du milieu environnant. Identifier les composants de l'air qui affectent les surfaces métalliques.,True,True,examen-5,examen-1
248,exam5-8,8,exam1-8,Quel type de peinture convient pour les manchons à poils synthétiques?,True,True,examen-5,examen-1
249,exam5-9,9,exam1-9,Nommer le rôle du support dans le papier abrasif?,True,True,examen-5,examen-1
250,exam5-10,10,exam1-10,Quel sigle correspond à l'organisme qui traite les offres soumissions publiques du Québec?,True,True,examen-5,examen-1
251,exam5-11,11,exam1-11,Quel produit de nettoyage est nécessaire pour éliminer la moisissure?,True,True,examen-5,examen-1
252,exam5-12,12,exam1-12,Quelle longueur X largeur sécuritaire aurait une tour d'échafaudage en cadre métallique simple de 22' de haut?,True,False,examen-5,examen-1
253,exam5-13,13,exam1-13,Quelle est la température idéale pour l'application des revêtements à base d'alkyde?,False,True,examen-5,examen-1
254,exam5-14,14,exam1-14,Quelles sont les 4 provenances possibles des pigments colorant?,True,False,examen-5,examen-1
255,exam5-15,15,exam1-15,Que faut-il utiliser pour combler un vide sous une patte d'appui d'échafaudage?,True,True,examen-5,examen-1
256,exam5-16,16,exam1-16,Identifier la cause du défaut d'application au pistolet suivant : Le pistolet réglé a 40 lbs par po2 crachote de petites gouttes de peinture au lieu de la pulvérisation de type du brouillard nécessaire?,True,True,examen-5,examen-1
257,exam5-17,8,exam1-8,Quel type de peinture convient pour les manchons à poils synthétiques?,True,True,examen-5,examen-1
258,exam5-18,18,exam1-18,Le cristal à plancher sèche par :,True,False,examen-5,examen-1
259,exam5-19,19,exam1-19,"Identifier la bonne méthode de pose de vinyle mural 54"" sans motif :",True,True,examen-5,examen-1
260,exam5-20,20,exam1-20,Quelle chaudière serait nécessaire pour laver une pompe avec un solvant inflammable?,True,True,examen-5,examen-1
261,exam5-21,21,exam1-21,Nommer la complémentaire directe du rouge,True,True,examen-5,examen-1
262,exam5-22,22,exam1-22,Quel type de buse (tip) est nécessaire pour apprêter une maison neuve en gypse?,True,False,examen-5,examen-1
263,exam5-23,23,exam1-23,Quel procédé de nettoyage pour surfaces métalliques correspond à la norme SSPC SP2?,True,True,examen-5,examen-1
264,exam5-24,24,exam1-24,Quel produit de nettoyage sera nécessaire pour éliminer les huiles et les graisses?,False,True,examen-5,examen-1
265,exam5-25,25,exam1-25,Quel type de pinceau convient à l'usage du latex?,True,False,examen-5,examen-1
266,exam5-26,26,exam1-26,Pourquoi les couleurs complémentaires juxtaposées forment un contraste?,True,False,examen-5,examen-1
267,exam5-27,27,exam1-27,Peut-on déplacer un échafaudage pendant qu'un travailleur s'y trouve?,True,False,examen-5,examen-1
268,exam5-28,28,exam1-28,Quel produit nettoyant doit-on utiliser pour préparer la surface d'un bain nécessitant une application d'époxy?,True,True,examen-5,examen-1
